,account_id,company_size,num_users_10days,engagement_ratio,type
496,PGYVYV2GQU,3.Enterprise,0,1.7857142857142856,Customer
497,PHR62GDSWM,2.Mid-Market,64,229.92125984251967,Customer
498,PHWHM54XR8,2.Mid-Market,3,54.054054054054056,Customer
499,PJPF240SHD,2.Mid-Market,17,53.36787564766839,Customer
500,PKIANOUOF0,2.Mid-Market,0,5.217391304347826,Customer
501,PP00CDNZY4,2.Mid-Market,4,5.228758169934641,Customer
502,PQ8R4HC7JV,2.Mid-Market,0,7.142857142857142,Customer
503,PU3ET1OVEJ,2.Mid-Market,5,21.012048192771086,Customer
504,PUBKPIQNHQ,3.Enterprise,0,1.7857142857142856,Customer
505,PUU62RZV1S,2.Mid-Market,0,7.142857142857142,Customer
506,Q46NOUHFJ7,2.Mid-Market,3,57.65765765765766,Customer
507,Q4KREG167D,2.Mid-Market,0,11.403508771929824,Customer
508,Q9J2H1TLOM,2.Mid-Market,1,0.0015999504015375525,Customer
509,QBEXGFVNNV,2.Mid-Market,7,59.64912280701754,Customer
510,QEOZ0KZ4Z7,3.Enterprise,3,28.947368421052634,Customer
511,QERXDOUADV,2.Mid-Market,3,2.867383512544803,Customer
512,QFC1YUZPEX,2.Mid-Market,0,7.6923076923076925,Customer
513,QFEZKFH00A,3.Enterprise,3,0.7352941176470588,Customer
514,QMVQWPQO2L,2.Mid-Market,3,13.861386138613863,Customer
515,QOB867KBQN,3.Enterprise,1,0.7462686567164178,Customer
516,QQYZQII4W6,3.Enterprise,28,50.71633237822349,Customer
517,QUPXBFEJ2X,3.Enterprise,15,41.2962962962963,Customer
518,QW3B4NTHZM,2.Mid-Market,82,109.55223880597016,Customer
519,QXMCTHPHJ3,3.Enterprise,2,42.032332563510394,Customer
520,QZFHOMTZZF,2.Mid-Market,9,44.44444444444444,Customer
521,R4KZ36U8UE,2.Mid-Market,0,4.166666666666666,Customer
522,R6K2VMWWYZ,2.Mid-Market,4,86.66666666666667,Customer
523,R96KHUB2RT,3.Enterprise,12,50.51546391752577,Customer
524,RABR6RTC0Z,3.Enterprise,38,26.488095238095237,Customer
525,RFKI1IJE2X,2.Mid-Market,0,42.857142857142854,Customer
526,RGYBXKPM21,2.Mid-Market,24,5.929247633283508,Customer
527,RHT7ZEWVIY,2.Mid-Market,106,0.04624967625226623,Customer
528,RI09M0G8W8,3.Enterprise,7,57.49999999999999,Customer
529,RIJKQ2ZUV1,2.Mid-Market,10,40.17094017094017,Customer
530,RJ5XFEUB4O,3.Enterprise,5,53.84615384615385,Customer
531,RM6J8Y6RH0,2.Mid-Market,6,16.129032258064516,Customer
532,RMHRCNBH6N,3.Enterprise,117,81.66926677067082,Customer
533,RMWLMA6GMD,3.Enterprise,16,117.77777777777779,Customer
534,RP8GUUCM5F,2.Mid-Market,0,1.4871116986120292,Customer
535,RQNSVSOJRP,2.Mid-Market,2,20.625,Customer
536,RR513BB6F0,2.Mid-Market,39,58.48434925864909,Customer
537,RTWLXDSC4E,2.Mid-Market,9,65.38461538461539,Customer
538,RUW0U92T24,3.Enterprise,55,29.18968692449355,Customer
539,RV68JQ12JF,2.Mid-Market,3,29.383886255924168,Customer
540,RWTF07GBAS,3.Enterprise,32,98.06451612903226,Customer
541,RXDTG5NQJQ,2.Mid-Market,1,62.745098039215684,Customer
542,RY79KVLS9M,2.Mid-Market,1,100.0,Customer
543,RZKDU6FOTW,2.Mid-Market,22,12.646370023419204,Customer
544,S0R778NRXV,2.Mid-Market,0,116.66666666666667,Customer
545,S1F537YE0Q,2.Mid-Market,2,39.34426229508197,Customer
546,S387J5IE3L,2.Mid-Market,0,10.344827586206897,Customer
547,S52SQ3B9SO,2.Mid-Market,16,37.84403669724771,Customer
548,S65QU0K5QZ,3.Enterprise,4,0.8238276299112801,Customer
549,S7O4YC3S0D,2.Mid-Market,6,19.2090395480226,Customer
550,S95ZOW60ZZ,2.Mid-Market,0,14.516129032258066,Customer
551,SCNX8EIQET,2.Mid-Market,3,48.837209302325576,Customer
552,SEVL7FQ8AB,2.Mid-Market,100,201.1874469889737,Customer
553,SGUR4PU6W9,3.Enterprise,52,0.14349067310624808,Customer
554,SIUAZ71UF0,3.Enterprise,110,11.61217587373168,Customer
555,SKP6RFE64S,2.Mid-Market,2,60.526315789473685,Customer
556,SLHGMRZZQO,2.Mid-Market,2,25.0,Customer
557,SMADO8E7FL,2.Mid-Market,6,49.0990990990991,Customer
558,SOGB205HU0,2.Mid-Market,1,60.0,Customer
559,SOYG9ZQYAH,2.Mid-Market,5,6.493506493506493,Customer
560,SPD2SW24WJ,3.Enterprise,12,6.474480151228732,Customer
561,SPENGWYX9T,3.Enterprise,3,0.006499434549194221,Customer
562,SR2HVNKVON,3.Enterprise,5,6.965174129353234,Customer
563,SRYO4RCB1K,2.Mid-Market,34,44.83695652173913,Customer
564,SRYZX70IB3,2.Mid-Market,19,27.476635514018692,Customer
565,SU4FCL5EFJ,3.Enterprise,0,0.9505703422053232,Customer
566,SU4SE2KYT5,2.Mid-Market,3,67.07317073170732,Customer
567,SUFLSEHUDS,2.Mid-Market,1,64.86486486486487,Customer
568,SWEBNVG5VM,2.Mid-Market,0,7.079646017699115,Customer
569,SXLSUTOTHL,3.Enterprise,1,26.96629213483146,Customer
570,SZDXIMYN4U,3.Enterprise,20,78.8135593220339,Customer
571,T00IV1GGXR,3.Enterprise,24,43.50833071361207,Customer
572,T7ZQHT2XZ5,2.Mid-Market,0,6.140350877192982,Customer
573,T860X5ZU2Z,2.Mid-Market,7,16.94915254237288,Customer
574,T8JBBSXPK4,3.Enterprise,13,0.04399846005389812,Customer
575,TANA6U48GW,2.Mid-Market,3,61.6,Customer
576,TI221XJ7WW,2.Mid-Market,3,35.483870967741936,Customer
577,TIO4M7PP0P,3.Enterprise,7,30.228136882129274,Customer
578,TL3Q4N89QK,2.Mid-Market,0,0.8450704225352111,Customer
579,TLCQFMUIW7,2.Mid-Market,0,0.4735595895816891,Customer
580,TN9UZERYF0,2.Mid-Market,60,18.76974231088944,Customer
581,TNLZTWXOL4,2.Mid-Market,0,28.57142857142857,Customer
582,TOZHDV5OJZ,2.Mid-Market,2,0.8530805687203791,Customer
583,TP6QAQ3K8A,3.Enterprise,21,0.02799594058861465,Customer
584,TQMGVU4ISO,3.Enterprise,0,0.34904013961605584,Customer
585,TQVDZ4X1ZH,2.Mid-Market,0,1.9047619047619049,Customer
586,TQYDSHLV76,2.Mid-Market,102,0.06759837763893667,Customer
587,TSXOF33QE6,3.Enterprise,3,106.06060606060606,Customer
588,TWBOZD1AT7,2.Mid-Market,31,39.982190560997324,Customer
589,TXCB48Y1O4,2.Mid-Market,2,29.72972972972973,Customer
590,TXSNHFT4I2,3.Enterprise,2,23.300970873786408,Customer
591,TYLAVZME9W,3.Enterprise,3,20.33898305084746,Customer
592,TZ0YNCXLL4,2.Mid-Market,5,61.29032258064516,Customer
593,U7ZQJ3OVU7,3.Enterprise,0,24.285714285714285,Customer
594,U87CM453KF,2.Mid-Market,13,32.432432432432435,Customer
595,U923O359TS,3.Enterprise,0,0.38022813688212925,Customer
596,UA3AIPJIYL,3.Enterprise,95,0.1729724973729177,Customer
597,UDE358TRE9,3.Enterprise,0,4.705882352941177,Customer
598,UDKTMONRVB,2.Mid-Market,0,35.64356435643564,Customer
599,UDQVDK6DRN,2.Mid-Market,0,1.8018018018018018,Customer
